"HDI Rank","Country","GDI_value","HDI_f","HDI_m","Life_expectancy_at_birth_f","Life_Expectancy_at_birth_m","Expected_years_of_schooling_f","Expected_years_of_schooling_m","Mean_years_of_schooling_f","Mean_years_of_schooling_m","2017_Estimated _gross _ national_income_per_capita_f","2017_Estimated _gross _ national_income_per_capita_m"
79,"Peru",0.9570929121632723,0.7590668691866898,0.7930963227708023,79.507,74.06,14.89292,15.08838,9.14771,10.25826,9888.947352494482,14646.969745844366
79,"Thailand",1.007921417554255,0.7823867014895793,0.7762377977720317,80.9,73.46,15.80542,14.6679845,7.70752,8.19174,15924.394224733986,19737.434679276448
81,"Armenia",0.9820915997742171,0.7661304804028459,0.7801008384339906,78.516,71.327,13.60293,12.5846,11.29839,11.30585,9737.422415077495,18574.00571903685
82,"North Macedonia",0.9520718901753507,0.7528507162081073,0.7907498624599123,77.846,73.794,13.78974,13.39142,9.408585467,10.23517865,11698.138832190134,20026.517663013867
83,"Colombia",0.9894660299868661,0.7614492267884626,0.7695557034924887,80.019,74.528,14.66854,14.13764,8.6229,8.30178,11593.68143551798,17018.047434679687
84,"Brazil",0.9934769514540002,0.7599627389402953,0.7649525616352288,79.555,72.243,15.76622,15.06124,8.18457,7.74927,10534.707566159721,18119.943763575215
85,"Chi ",0.9574993481466189,0.7436192813041433,0.7766264099746157,79.244,74.761,13.95885526,14.00972474,7.7,8.39,12632.668939692283,19307.704939027717
86,"Ecuador",0.967367575789958,0.7429286659734187,0.7679900428404774,79.838,74.282,14.89502544,14.30661012,8.731764724,8.854201765,7874.348971924653,14210.94743886486
86,"Saint Lucia",0.9854529148532554,0.7521085854773343,0.7632110820731921,77.58,74.851,14.69305,13.30756,8.779392625,8.210941795,11475.907006458692,17851.24894544497
88,"Azerbaijan",0.9427321413710316,0.7296549712857238,0.7739790967820127,75.455,70.511,13.00958606,12.79102352,10.24592,10.93251,8919.23823824371,18663.688196437346
88,"Dominican Republic",0.9987924735511202,0.7591699385738584,0.760087764653147,77.381,70.991,14.98607,13.45607,8.845290486,8.315284627,12448.859606737169,22739.557968219207
90,"Moldova (Republic of)",1.013708538762285,0.7544443897258262,0.7442419205099974,76.157,67.624,11.77517,11.30316,11.76912,11.63766,11994.41735934833,15477.12762076822
91,"Algeria",0.8583254728464075,0.6711642685049611,0.7819461145423354,78.133,75.676,14.8472673,14.36133628,7.699,8.274,3295.5479501103446,18890.709828867828
92,"Lebanon",0.8921468975490517,0.6907951375619129,0.774306495331316,80.869,77.14,11.11914,11.4526,8.4842,8.9158,6078.497812541329,23124.196533914244
93,"Fiji",,,,69.331,65.698,,,10.99611,10.80757,8316.974848913595,17576.69980826722
